Time,FPS 
45,2.57069
104,16.9492
106,500
107,1000
109,500
110,1000
112,500
114,500
114,0
115,1000
116,1000
118,500
119,1000
120,1000
122,500
123,1000
124,1000
125,1000
127,500
128,1000
129,1000
132,333.333
134,500
136,500
137,1000
138,1000
139,1000
141,500
142,1000
143,1000
145,500
146,1000
147,1000
150,333.333
151,1000
152,1000
153,1000
154,1000
155,1000
156,1000
158,500
159,1000
160,1000
163,333.333
165,500
167,500
169,500
171,500
172,1000
173,1000
174,1000
176,500
177,1000
178,1000
179,1000
181,500
182,1000
183,1000
185,500
186,1000
188,500
190,500
191,1000
192,1000
194,500
196,500
197,1000
199,500
201,500
203,500
204,1000
205,1000
206,1000
208,500
209,1000
210,1000
213,333.333
214,1000
215,1000
217,500
218,1000
219,1000
221,500
223,500
224,1000
226,500
227,1000
228,1000
230,500
231,1000
232,1000
233,1000
235,500
236,1000
237,1000
239,500
241,500
242,1000
244,500
244,0
245,1000
246,1000
248,500
249,1000
250,1000
251,1000
253,500
254,1000
255,1000
257,500
259,500
260,1000
262,500
263,1000
264,1000
266,500
268,500
269,1000
271,500
272,1000
274,500
275,1000
276,1000
277,1000
278,1000
280,500
281,1000
282,1000
284,500
285,1000
286,1000
287,1000
290,333.333
291,1000
293,500
295,500
296,1000
297,1000
298,1000
299,1000
301,500
303,500
304,1000
305,1000
308,333.333
309,1000
311,500
313,500
314,1000
316,500
317,1000
318,1000
321,333.333
324,333.333
325,1000
326,1000
327,1000
329,500
330,1000
331,1000
332,1000
334,500
335,1000
336,1000
339,333.333
341,500
343,500
344,1000
344,0
345,1000
347,500
349,500
350,1000
352,500
353,1000
354,1000
357,333.333
358,1000
360,500
361,1000
362,1000
363,1000
365,500
366,1000
367,1000
369,500
371,500
372,1000
374,500
376,500
377,1000
379,500
379,0
380,1000
381,1000
383,500
385,500
386,1000
388,500
389,1000
390,1000
392,500
393,1000
394,1000
395,1000
397,500
398,1000
399,1000
401,500
402,1000
403,1000
404,1000
406,500
407,1000
408,1000
411,333.333
412,1000
414,500
415,1000
416,1000
417,1000
420,333.333
422,500
424,500
425,1000
426,1000
428,500
429,1000
430,1000
431,1000
433,500
434,1000
435,1000
437,500
439,500
440,1000
442,500
443,1000
444,1000
446,500
447,1000
448,1000
449,1000
451,500
452,1000
453,1000
456,333.333
457,1000
458,1000
460,500
461,1000
461,0
462,1000
464,500
465,1000
466,1000
467,1000
469,500
470,1000
473,333.333
475,500
476,1000
477,1000
478,1000
479,1000
480,1000
482,500
484,500
485,1000
487,500
488,1000
489,1000
492,333.333
492,0
493,1000
494,1000
496,500
497,1000
497,0
498,1000
501,333.333
502,1000
503,1000
506,333.333
507,1000
509,500
510,1000
511,1000
512,1000
514,500
515,1000
516,1000
518,500
519,1000
520,1000
521,1000
523,500
524,1000
525,1000
527,500
528,1000
529,1000
530,1000
532,500
533,1000
534,1000
536,500
538,500
539,1000
541,500
542,1000
543,1000
545,500
546,1000
547,1000
548,1000
549,1000
551,500
552,1000
554,500
556,500
557,1000
559,500
560,1000
561,1000
563,500
564,1000
565,1000
566,1000
568,500
569,1000
570,1000
572,500
574,500
575,1000
577,500
578,1000
579,1000
581,500
582,1000
583,1000
584,1000
586,500
588,500
590,500
592,500
593,1000
595,500
595,0
596,1000
597,1000
599,500
601,500
602,1000
604,500
606,500
608,500
609,1000
610,1000
611,1000
613,500
614,1000
615,1000
617,500
619,500
620,1000
623,333.333
624,1000
626,500
627,1000
629,500
631,500
632,1000
633,1000
636,333.333
637,1000
638,1000
641,333.333
642,1000
644,500
646,500
647,1000
649,500
651,500
653,500
654,1000
656,500
658,500
659,1000
660,1000
663,333.333
665,500
667,500
668,1000
669,1000
672,333.333
674,500
677,333.333
678,1000
680,500
681,1000
682,1000
684,500
686,500
687,1000
689,500
691,500
691,0
692,1000
695,333.333
696,1000
698,500
700,500
701,1000
703,500
704,1000
705,1000
707,500
709,500
710,1000
712,500
713,1000
714,1000
715,1000
717,500
718,1000
719,1000
721,500
722,1000
723,1000
725,500
727,500
727,0
728,1000
730,500
731,1000
732,1000
734,500
736,500
737,1000
739,500
741,500
